model_name,pr_auc_point,pr_auc_lower,pr_auc_upper,roc_auc_point,roc_auc_lower,roc_auc_upper,hits_at_100,f1,mcc,threshold,best_val_pr_auc
gcn_L1,0.5976223338506425,0.5783881274821576,0.6190330336158485,0.8084042361534002,0.7988828428697176,0.8177309575695785,0.03036200856364344,0.692223138224787,0.5359753637068556,0.59,0.6158112592552791
gcn_L2,0.5925737990746566,0.5729367385375759,0.6130979952012486,0.8052461672475716,0.7959505595733636,0.8148411634997677,0.030751265083690152,0.6893732970027248,0.53259531783342,0.5800000000000001,0.6106974890020186
gcn_L3,0.5953494075949831,0.5756079966728302,0.6158950869786034,0.8037032325867559,0.7943518392735957,0.8132799766428934,0.03464383028415726,0.6920574681485497,0.539825360022811,0.24000000000000002,0.6119041936573446
gcn_L4,0.5899451830723186,0.5712249090270568,0.6107147883471375,0.8050378642499327,0.7956742115671036,0.8146771637563616,0.02997275204359673,0.6913982878108439,0.537617137893448,0.48000000000000004,0.6075826609652298
gat,0.591833748772534,0.5726496152811832,0.6132351925541257,0.8075885247965795,0.79816269977963,0.8170424165465584,0.02958349552355002,0.6908100748808713,0.5357941865275142,0.66,0.6079165954124957
